                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.51209,                0.54331,                0.98903,                0.51005,                0.56644,                0.53112,                0.33145,                 1.2171,                  2.212,                 1.6347,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 0.5324,                0.51076,                0.95798,                0.54343,                0.58623,                0.56323,                0.36312,                 1.2223,                 2.1261,                 1.6467,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.50711,                0.51046,                0.98747,                0.48618,                0.62047,                 0.5598,                0.35356,                 1.2468,                 2.1372,                 1.6872,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.46815,                0.48645,                0.96165,                0.51474,                 0.5544,                0.57388,                0.36399,                  1.211,                 2.1744,                 1.6573,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.45679,                0.44516,                0.95599,                0.56729,                 0.4865,                0.56578,                0.36304,                  1.203,                  2.158,                 1.6567,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.45506,                0.44558,                0.96623,                 0.5526,                0.51607,                0.56085,                0.35406,                 1.2065,                 2.1792,                 1.6681,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.46062,                0.45582,                0.94405,                  0.601,                0.44829,                0.56345,                0.36284,                 1.2253,                 2.1883,                 1.6917,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.43439,                0.45503,                0.92781,                0.48598,                0.60637,                0.54432,                0.34914,                 1.2147,                 2.1667,                 1.6786,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.45595,                0.45289,                0.95824,                0.52421,                0.58725,                0.55681,                0.35609,                 1.2089,                  2.164,                  1.666,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 0.4391,                0.45359,                0.92374,                0.51604,                0.59781,                0.55182,                0.35063,                 1.2118,                 2.1601,                  1.668,             1.8089e-05,             1.8089e-05,             1.8089e-05
